ID;POWER_STATION;UNITS;CAPACITY_MWE;COUNTRY;LOCATION;CONSTRUCTION_START;PLANNED_CONNECTION
158;Changjiang Nuclear Power Plant;;1,22;China;19°25'23''N 108°48'45''E;2010;2014
159;Fangchenggang Nuclear Power Plant;;2;China;21°40'36''N 108°33'38''E;2010;2015
160;Fangjiashan Nuclear Power Plant;;2;China;30°26'29''N 120°56'30''E;2008;2014
161;Fuqing Nuclear Power Plant;;3;China;25°26'39''N 119°26'46''E;2008;2014
162;Haiyang Nuclear Power Plant;;2;China;36°42'33''N 121°22'54''E;2009;2014
163;Kakrapar-3;;1,664[note 40];India;21°14'19''N 73°21'00''E;2010;2015
164;Kaliningrad Nuclear Power Plant;;1,082;Russia;54°56'20''N 22°09'40''E;2012;2017
165;Leningrad Nuclear Power Plant II;;2,17;Russia;59°49'50''N 29°3'26''E;2008;2015
166;Lungmen Nuclear Power Plant;;2,6;Taiwan;25°02'19''N 121°55'27''E;1999;2014
167;Mochovce Nuclear Power Plant;;1,654[note 41];Slovakia;48°15'50''N 18°27'25''E;1987;2015
168;?ma Nuclear Power Plant;;1,325;Japan;41°30'35''N 140°54'37''E;2010;2014
169;Sanmen Nuclear Power Station;;2;China;29°06'04''N 121°38'23''E;2009;2014
170;Shin Hanul Nuclear Power Plant;;2,68;South Korea;37°05'34''N 129°23'01''E;2012;2017
171;Shin Wolseong Nuclear Power Plant;;1,920[note 42];South Korea;35°43'20''N 129°28'44''E;2007;2014
172;Taishan Nuclear Power Plant;;3,4;China;21°54'34''N 112°58'45''E;2009;2014
173;Virgil C. Summer Nuclear Power Plant;;2,088[note 43];USA;34°17'55''N 81°18'53''W;2013;2017
174;Barsebaeck Nuclear Power Plant;;1,2;Sweden;55°44'40''N 12°55'15''E;;
175;Biblis Nuclear Power Plant;;2,407;Germany;49°42'36''N 08°24'55''E;;
176;Bohunice Nuclear Power Plant;;1,760[note 44];Slovakia;48°29'40''N 17°40'55''E;;
177;Chernobyl Nuclear Power Plant;;3,515;Ukraine;51°23'22''N 30°05'57''E;;
178;Fukushima Daiichi Nuclear Power Plant;;4,546;Japan;37°25'17''N 141°01'57''E;;
179;Greifswald Nuclear Power Plant;;2,04;Germany;54°08'26''N 13°39'52''E;;
180;Ignalina Nuclear Power Plant;;2,37;Lithuania;55°36'16''N 26°33'36''E;;
181;Kruemmel Nuclear Power Plant;;1,346;Germany;53°24'36''N 10°24'32''E;;
182;Muelheim-Kaerlich Nuclear Power Plant;;1,219;Germany;50°24'29''N 07°29'24''E;;
183;Three Mile Island Nuclear Generating Station;;1,685[note 45];United States;40°09'14''N 76°43'29''W;;
184;San Onofre Nuclear Generating Station;;2,586[note 46];United States;33°22'08''N 117°33'18''W;;
185;Superphénix;;1,2;France;45°45'30''N 05°28'20''E;;
186;Trojan Nuclear Power Plant;;1,095;United States;46°02'18''N 122°53'06''W;;
187;Unterweser Nuclear Power Plant;;1,345;Germany;53°25'40''N 08°28'49''E;;
188;Zion Nuclear Power Station;;2,08;United States;42°26'47''N 87°48'11''W;;
